P. Teq Mean (K),P. Ts Mean (K)
11.4,
97.7,
11.4,
14.4,
5.6,
4.8,
16.8,
3.3,
159.4,
17,
16.2,
7.5,
,
2.4,
877.3,
337.1,
230,
960.5,
799.7,
1.1,
756.4,
772.6,
117.3,
187.6,
396.8,
430.8,
343.2,
316.2,
258,
789.4,
199.6,
152.4,
84.8,
104.7,
1260.3,
660.7,
456.5,
95.3,
1790.4,1833.5
252.9,
1054.4,1095.7
506.4,
340,
479.1,
477.8,
565.2,
718.8,
12.8,
993.1,
680.5,
1068,1102.1
899,
898.4,
220.8,
808,
1099.6,
691,
498.9,546.5
635.8,
315.8,
268,
265.7,
151.1,
643.9,
290.9,
1177.4,1221.5
369.3,
236.6,
719.6,
206.3,
1451.7,
94.2,
146.2,
6.1,
943.8,
123,
994.9,
14.3,
12.8,
,
6.8,
727.1,
1835.8,
1392.7,
1453.4,
975.6,
1316.3,
929.2,
1664.6,1706.5
1017.9,
783.1,
376.5,
600.8,
1563.6,
1318.7,
1166.5,
1781.4,
1559.9,
1085.5,
1486.4,
1396,
1515.3,
810.2,
1867,
919.8,
1508.9,
855.3,
646.6,
1208.4,
1437.8,
1238.8,
1247.1,
1113.7,
824.5,
1534.7,
878.1,
928,
9,
2123.9,
7.6,
49,
5.5,
60.8,
,
111.7,
324.9,
510.7,551.3
431.1,475.2
438.4,
331.3,
1244.9,1287.2
1015,1064.4
148.9,193.9
1359.1,1432.1
1232.2,1269.4
792.8,
974,1014.8
861,
662.8,
1184,1224
857.8,907.3
1124.4,1168.6
846.7,892
523.9,568.3
1006.2,
661.1,
621.6,
368,415.6
549.8,595.1
541.4,589
711.4,755.4
605.9,643.5
1717.9,
793.3,829.3
955.7,993.7
1619.1,
508,
1062,
671,708.5
576.1,618.2
513.9,555
1058.7,
432,473
377.8,422.8
541.9,579.5
1017.9,
1433,
699.6,747.1
540.7,586.8
1852.2,1895
780.2,
111.8,
579.4,
669.2,
543.1,
127,
47.9,
1.1,
5.9,
986.9,
327.2,
365.1,406.7
354.6,
657.6,
715.2,
330.1,
229.5,272.7
79.4,
439.8,483.8
58.8,
267.9,311.9
239.5,282
149.9,
,
267.3,305.8
421.9,456.2
72.7,
13.5,
53.1,
231.3,276.1
405.8,447.4
52.3,
649.7,
47,
445,486.7
4.4,
417.2,
312.6,354.3
501.5,538.2
306.5,345.2
102.2,
526.7,571.4
387.5,429.3
246.5,286.4
165.9,207.3
188.9,227.1
220.7,258.9
117.6,158.5
520.7,
104.5,
55,
696,736.8
326.4,
293.7,334.3
198,242.1
240.7,
32.8,
330.3,
171.1,
53.9,
254,295.7
57.4,
36.9,
194.2,
246.2,
614.2,657.2
153.2,
528.6,564.9
519.6,557
325.3,
485,525.5
823.8,860
137.8,
256.5,
161.4,
